N          P          Opt        Res        Err        Time      
100        5          5819.00    5819.00    0.00%      149.81ms  
100        10         4093.00    4105.00    0.29%      34.10ms   
100        10         4250.00    4250.00    0.00%      18.96ms   
100        20         3034.00    3034.00    0.00%      23.52ms   
100        33         1355.00    1355.00    0.00%      28.37ms   
200        5          7824.00    7824.00    0.00%      37.86ms   
200        10         5631.00    5631.00    0.00%      40.01ms   
200        20         4445.00    4445.00    0.00%      46.28ms   
200        40         2734.00    2747.00    0.48%      146.77ms  
200        67         1255.00    1255.00    0.00%      195.20ms  
300        5          7696.00    7696.00    0.00%      29.58ms   
300        10         6634.00    6634.00    0.00%      66.27ms   
300        30         4374.00    4374.00    0.00%      267.80ms  
300        60         2968.00    2968.00    0.00%      573.31ms  
300        100        1729.00    1731.00    0.12%      708.38ms  
400        5          8162.00    8162.00    0.00%      40.29ms   
400        10         6999.00    6999.00    0.00%      105.32ms  
400        40         4809.00    4809.00    0.00%      569.98ms  
400        80         2845.00    2848.00    0.11%      2310.77ms 
400        133        1789.00    1789.00    0.00%      3180.09ms 
500        5          9138.00    9138.00    0.00%      63.07ms   
500        10         8579.00    8579.00    0.00%      127.83ms  
500        50         4619.00    4623.00    0.09%      932.76ms  
500        100        2961.00    2968.00    0.24%      4035.82ms 
500        167        1828.00    1828.00    0.00%      8025.23ms 
600        5          9917.00    9917.00    0.00%      96.47ms   
600        10         8307.00    8307.00    0.00%      187.78ms  
600        60         4498.00    4502.00    0.09%      3199.50ms 
600        120        3033.00    3033.00    0.00%      7929.91ms 
600        200        1989.00    1993.00    0.20%      8299.79ms 
700        5          10086.00   10087.00   0.01%      122.33ms  
700        10         9297.00    9297.00    0.00%      223.87ms  
700        70         4700.00    4703.00    0.06%      4445.32ms 
700        140        3013.00    3014.00    0.03%      10425.46ms
800        5          10400.00   10400.00   0.00%      154.67ms  
800        10         9934.00    9934.00    0.00%      303.62ms  
800        80         5057.00    5057.00    0.00%      8425.62ms 
900        5          11060.00   11060.00   0.00%      241.69ms  
900        10         9423.00    9423.00    0.00%      443.43ms  
900        90         5128.00    5133.00    0.10%      8793.18ms 
