Name         	 Optimal      	 Heuristic    	 Gap

A-n33-k5     	 661.0        	 662.1100817203521 	 0.16793974589290883%

A-n46-k7     	 914.0        	 920.0328853130341 	 0.6600530977061332%

A-n33-k6     	 742.0        	 743.4466839313507 	 0.19497088023593834%

A-n45-k6     	 944.0        	 967.7426354885101 	 2.5151096915794633%

A-n61-k9     	 1034.0       	 1074.0318126440047 	 3.8715486116058733%

A-n34-k5     	 778.0        	 781.1455547094345 	 0.4043129446573861%

A-n48-k7     	 1073.0       	 1077.7496076345444 	 0.4426474962296755%

A-n38-k5     	 730.0        	 734.1908148527145 	 0.5740842263992518%

A-n44-k6     	 937.0        	 942.5731339454651 	 0.5947848394306391%

A-n54-k7     	 1167.0       	 1188.323603439331 	 1.8272153761209091%

A-n37-k6     	 949.0        	 953.4399755716324 	 0.4678583321003615%

A-n65-k9     	 1174.0       	 1195.7299791336059 	 1.8509351902560363%

A-n39-k5     	 822.0        	 829.4567608118057 	 0.9071485172512992%

A-n53-k7     	 1010.0       	 1021.965821313858 	 1.1847347835502957%

A-n55-k9     	 1073.0       	 1084.0140600562095 	 1.0264734441947319%

A-n39-k6     	 831.0        	 834.382304239273 	 0.40701615394380575%

A-n36-k5     	 799.0        	 806.1550165176392 	 0.895496435248959%

A-n32-k5     	 784.0        	 791.2466934919357 	 0.9243231494815982%

A-n45-k7     	 1146.0       	 1157.0802882671355 	 0.9668663409367827%

A-n37-k5     	 669.0        	 672.4652130842209 	 0.5179690708850319%
