N          P          Opt        Res        Err        Time      
100        5          5819.00    5819.00    0.00%      172.73ms  
100        10         4093.00    4093.00    0.00%      15.16ms   
100        10         4250.00    4250.00    0.00%      10.98ms   
100        20         3034.00    3034.00    0.00%      22.73ms   
100        33         1355.00    1355.00    0.00%      27.94ms   
200        5          7824.00    7824.00    0.00%      40.26ms   
200        10         5631.00    5631.00    0.00%      25.88ms   
200        20         4445.00    4445.00    0.00%      53.78ms   
200        40         2734.00    2747.00    0.48%      113.20ms  
200        67         1255.00    1255.00    0.00%      305.22ms  
300        5          7696.00    7696.00    0.00%      18.81ms   
300        10         6634.00    6634.00    0.00%      41.23ms   
300        30         4374.00    4374.00    0.00%      177.41ms  
300        60         2968.00    2969.00    0.03%      388.44ms  
300        100        1729.00    1729.00    0.00%      1290.22ms 
400        5          8162.00    8162.00    0.00%      58.20ms   
400        10         6999.00    7037.00    0.54%      68.07ms   
400        40         4809.00    4811.00    0.04%      560.67ms  
400        80         2845.00    2847.00    0.07%      3272.50ms 
400        133        1789.00    1789.00    0.00%      3764.78ms 
500        5          9138.00    9138.00    0.00%      51.40ms   
500        10         8579.00    8579.00    0.00%      104.39ms  
500        50         4619.00    4619.00    0.00%      1423.81ms 
500        100        2961.00    2961.00    0.00%      3116.16ms 
500        167        1828.00    1834.00    0.33%      5649.18ms 
600        5          9917.00    9917.00    0.00%      90.77ms   
600        10         8307.00    8310.00    0.04%      177.42ms  
600        60         4498.00    4498.00    0.00%      2022.79ms 
600        120        3033.00    3035.00    0.07%      6287.32ms 
600        200        1989.00    1992.00    0.15%      9590.25ms 
700        5          10086.00   10087.00   0.01%      127.69ms  
700        10         9297.00    9301.00    0.04%      234.59ms  
700        70         4700.00    4704.00    0.09%      3106.68ms 
700        140        3013.00    3014.00    0.03%      11567.67ms
800        5          10400.00   10400.00   0.00%      170.29ms  
800        10         9934.00    9934.00    0.00%      443.66ms  
800        80         5057.00    5057.00    0.00%      12130.45ms
900        5          11060.00   11060.00   0.00%      220.19ms  
900        10         9423.00    9423.00    0.00%      410.46ms  
900        90         5128.00    5128.00    0.00%      11088.21ms
